content_id,content_type,owner_type,license_type,allow_view,allow_download,allow_share,allow_modify,allow_commercial,copyright_start_year,copyright_duration_years,current_year,copyright_expired,usage_context,detected_usage,misuse_flag,legal_summary_label
SCET0001,audio,individual,all_rights_reserved,1,0,0,0,0,1934,10,2026,1,education,modify,1,Public domain content
SCET0002,audio,individual,public_domain,1,1,1,1,1,1968,70,2026,0,social_media,share,0,Usage restrictions apply
SCET0003,video,individual,creative_commons,1,1,1,1,0,1943,70,2026,1,education,share,0,Public domain content
SCET0004,pdf,individual,public_domain,1,1,1,1,1,1999,10,2026,1,education,sell,0,Public domain content
SCET0005,image,individual,royalty_free,1,1,1,1,1,1993,50,2026,0,social_media,view,0,Usage restrictions apply
SCET0006,pdf,organization,creative_commons,1,1,1,1,0,2001,10,2026,1,research,share,0,Public domain content
SCET0007,audio,organization,royalty_free,1,1,1,1,1,1960,10,2026,1,research,share,0,Public domain content
SCET0008,article,organization,creative_commons,1,1,1,1,0,2005,70,2026,0,commercial,remix,0,Usage restrictions apply
SCET0009,article,organization,all_rights_reserved,1,0,0,0,0,1950,70,2026,1,research,modify,1,Public domain content
SCET0010,video,organization,public_domain,1,1,1,1,1,1947,70,2026,1,education,view,0,Public domain content
SCET0011,audio,company,public_domain,1,1,1,1,1,1984,30,2026,1,research,download,0,Public domain content
SCET0012,article,company,all_rights_reserved,1,0,0,0,0,1992,50,2026,0,education,modify,1,Usage restrictions apply
SCET0013,audio,individual,creative_commons,1,1,1,1,0,1975,10,2026,1,commercial,remix,0,Public domain content
SCET0014,image,organization,creative_commons,1,1,1,1,0,1951,70,2026,1,commercial,sell,1,Public domain content
SCET0015,pdf,individual,public_domain,1,1,1,1,1,2023,20,2026,0,social_media,sell,0,Usage restrictions apply
SCET0016,image,individual,public_domain,1,1,1,1,1,1948,50,2026,1,research,view,0,Public domain content
SCET0017,audio,company,creative_commons,1,1,1,1,0,1902,30,2026,1,research,share,0,Public domain content
SCET0018,article,company,all_rights_reserved,1,0,0,0,0,1913,70,2026,1,education,view,0,Public domain content
SCET0019,pdf,individual,all_rights_reserved,1,0,0,0,0,1955,10,2026,1,research,sell,1,Public domain content
SCET0020,image,organization,all_rights_reserved,1,0,0,0,0,1941,30,2026,1,commercial,modify,1,Public domain content
SCET0021,video,company,public_domain,1,1,1,1,1,1944,10,2026,1,education,remix,0,Public domain content
SCET0022,image,organization,creative_commons,1,1,1,1,0,1947,20,2026,1,education,remix,0,Public domain content
SCET0023,audio,company,public_domain,1,1,1,1,1,1968,30,2026,1,commercial,download,0,Public domain content
SCET0024,image,organization,creative_commons,1,1,1,1,0,1968,30,2026,1,social_media,sell,1,Public domain content
SCET0025,video,company,public_domain,1,1,1,1,1,1955,10,2026,1,education,remix,0,Public domain content
SCET0026,pdf,individual,royalty_free,1,1,1,1,1,1957,50,2026,1,social_media,share,0,Public domain content
SCET0027,article,individual,royalty_free,1,1,1,1,1,2011,70,2026,0,commercial,sell,0,Usage restrictions apply
SCET0028,article,company,all_rights_reserved,1,0,0,0,0,1969,30,2026,1,education,download,0,Public domain content
SCET0029,video,company,royalty_free,1,1,1,1,1,2019,70,2026,0,commercial,download,0,Usage restrictions apply
SCET0030,video,organization,public_domain,1,1,1,1,1,1905,70,2026,1,social_media,view,0,Public domain content
SCET0031,video,individual,all_rights_reserved,1,0,0,0,0,1924,30,2026,1,commercial,sell,1,Public domain content
SCET0032,video,organization,all_rights_reserved,1,0,0,0,0,1943,70,2026,1,social_media,sell,1,Public domain content
SCET0033,audio,organization,public_domain,1,1,1,1,1,1963,50,2026,1,research,view,0,Public domain content
SCET0034,video,organization,royalty_free,1,1,1,1,1,1950,20,2026,1,education,sell,0,Public domain content
SCET0035,image,company,public_domain,1,1,1,1,1,1943,70,2026,1,research,view,0,Public domain content
SCET0036,audio,individual,royalty_free,1,1,1,1,1,2022,50,2026,0,research,share,0,Usage restrictions apply
SCET0037,pdf,individual,royalty_free,1,1,1,1,1,2003,20,2026,1,research,download,0,Public domain content
SCET0038,article,company,public_domain,1,1,1,1,1,1964,30,2026,1,commercial,download,0,Public domain content
SCET0039,audio,organization,all_rights_reserved,1,0,0,0,0,2017,30,2026,0,commercial,view,0,Usage restrictions apply
SCET0040,article,company,all_rights_reserved,1,0,0,0,0,2020,50,2026,0,commercial,view,0,Usage restrictions apply
SCET0041,audio,individual,all_rights_reserved,1,0,0,0,0,1959,70,2026,0,research,remix,1,Usage restrictions apply
SCET0042,article,company,royalty_free,1,1,1,1,1,2007,50,2026,0,social_media,sell,0,Usage restrictions apply
SCET0043,audio,individual,public_domain,1,1,1,1,1,1964,70,2026,0,social_media,share,0,Usage restrictions apply
SCET0044,pdf,organization,all_rights_reserved,1,0,0,0,0,1902,50,2026,1,social_media,remix,1,Public domain content
SCET0045,article,individual,public_domain,1,1,1,1,1,1968,10,2026,1,commercial,modify,0,Public domain content
